,QuestionID,Question,Query,TripleSize,RelationTotal,BooleanAns,NumberAnswer,ListAnswer,ResourceTotal,ClassTotal,QuestionLength,Dharmen,SINA
692,10692.0,What is the total number of  builder of the military structures whose builder is also United States ?, SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/builder> <http://dbpedia.org/resource/United_States> . ?x <http://dbpedia.org/ontology/builder> ?uri },3.0,2.0,0.0,0.0,1.0,1.0,0.0,17.0,0.0,0.0
693,10693.0,From what countries have people participated in the Excelsior Stakes ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/property/race> <http://dbpedia.org/resource/Excelsior_Stakes> . ?x <http://dbpedia.org/ontology/birthPlace> ?uri  . },3.0,1.0,0.0,0.0,1.0,1.0,0.0,10.0,0.0,0.0
694,10694.0,What is the total number of guests on the show whose theme music is Let me be your star ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/property/music> <http://dbpedia.org/resource/Let_Me_Be_Your_Star> . ?x <http://dbpedia.org/property/guests> ?uri  . },3.0,0.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0,0.0
696,10696.0,Name some basketball players whose team is coached by Fred Hoiberg ?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/coach> <http://dbpedia.org/resource/Fred_Hoiberg> . ?uri <http://dbpedia.org/property/team> ?x  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/BasketballPlayer>},4.0,1.0,0.0,0.0,1.0,1.0,1.0,11.0,0.0,0.0
697,10697.0,Who all have developed softwares for Unix Like OSes ?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/operatingSystem> <http://dbpedia.org/resource/Unix-like> . ?x <http://dbpedia.org/ontology/developer> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Software>},4.0,1.0,0.0,0.0,1.0,1.0,1.0,9.0,0.0,0.0
699,10699.0,Was Walt Disney the cinematographer of Mickey's Mellerdrammer ?,ASK WHERE { <http://dbpedia.org/resource/Mickey's_Mellerdrammer> <http://dbpedia.org/property/cinematography> <http://dbpedia.org/resource/Walt_Disney> },3.0,0.0,1.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0
701,10701.0,Which series are Lennier and Londo Mollari both from ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Lennier> <http://dbpedia.org/ontology/series> ?uri. <http://dbpedia.org/resource/Londo_Mollari> <http://dbpedia.org/ontology/series> ?uri . },4.0,2.0,0.0,0.0,1.0,2.0,0.0,9.0,0.0,0.0
702,10702.0,Graduates of Somerville College have been in how many political parties ?,"SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/almaMater> <http://dbpedia.org/resource/Somerville_College,_Oxford> . ?x <http://dbpedia.org/ontology/party> ?uri  . }",3.0,2.0,0.0,0.0,1.0,1.0,0.0,11.0,0.0,0.0
704,10704.0,Count the number of battles fought by the military person involved in Morocco ?, SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/property/battles> <http://dbpedia.org/resource/Morocco> . ?x <http://dbpedia.org/property/battles> ?uri },3.0,0.0,0.0,1.0,0.0,1.0,0.0,13.0,0.0,0.0
705,10705.0,"How many companies were founded in Denton, texas ?","SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/part> <http://dbpedia.org/resource/Denton_County,_Texas> . ?uri <http://dbpedia.org/ontology/foundationPlace> ?x  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Company>}",4.0,2.0,0.0,1.0,0.0,1.0,1.0,8.0,0.0,0.0
706,10706.0,Count the different causes of death of Christians. ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/religion> <http://dbpedia.org/resource/Christianity> . ?x <http://dbpedia.org/ontology/deathCause> ?uri  . },3.0,2.0,0.0,1.0,0.0,1.0,0.0,8.0,0.0,0.0
709,10709.0,"Name the  people whose residence is Beverly Hills, California ?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/residence> <http://dbpedia.org/resource/Beverly_Hills,_California>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person>}",3.0,1.0,0.0,0.0,1.0,1.0,1.0,9.0,0.0,0.0
712,10712.0,Give me a count of all ice hockey players whose teams are headcoached by John Tortorella ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/property/headCoach> <http://dbpedia.org/resource/John_Tortorella> . ?uri <http://dbpedia.org/ontology/team> ?x  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/IceHockeyPlayer>},4.0,1.0,0.0,0.0,1.0,1.0,1.0,16.0,0.0,0.0
713,10713.0,Name all the venues of the convention which has also been hosted in San Diego Convention ?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/venue> <http://dbpedia.org/resource/San_Diego_Convention_Center> . ?x <http://dbpedia.org/property/venue> ?uri  . },3.0,0.0,0.0,0.0,1.0,1.0,0.0,16.0,0.0,0.0
714,10714.0,"Where is the county seat of King County, Washington ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/King_County,_Washington> <http://dbpedia.org/ontology/countySeat> ?uri } ",2.0,1.0,0.0,0.0,1.0,1.0,0.0,9.0,0.0,0.0
716,10716.0,Was Lucrezia Tornabuoni the mother of Lorenzo de' Medici ?,ASK WHERE { <http://dbpedia.org/resource/Lorenzo_de'_Medici> <http://dbpedia.org/property/mother> <http://dbpedia.org/resource/Lucrezia_Tornabuoni> },3.0,0.0,1.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0
718,10718.0,How many movies did Stanley Kubrick direct ?,SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Stanley_Kubrick>  . },2.0,1.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0
719,10719.0,In how many different places can I fnd Modern Architectural buildings ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/property/architecturalStyle> <http://dbpedia.org/resource/Modern_architecture> . ?x <http://dbpedia.org/property/address> ?uri  . },3.0,0.0,0.0,0.0,1.0,1.0,0.0,11.0,0.0,0.0
724,10724.0,In how many different places were the people born who are members of National Museum of Racing and Hall of Fame ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/honours> <http://dbpedia.org/resource/National_Museum_of_Racing_and_Hall_of_Fame> . ?x <http://dbpedia.org/property/birthPlace> ?uri  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Place>},4.0,1.0,0.0,0.0,1.0,1.0,1.0,21.0,0.0,0.0
729,10729.0,Which draft team od Dale Mitchell is also the tenant of Master Card center / ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Dale_Mitchell_(ice_hockey)> <http://dbpedia.org/ontology/draftTeam> ?uri. <http://dbpedia.org/resource/MasterCard_Centre> <http://dbpedia.org/property/tenants> ?uri} ,4.0,1.0,0.0,0.0,1.0,2.0,0.0,15.0,0.0,0.0
731,10731.0,Count the awards received by the ones who fought the battle of france ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/battle> <http://dbpedia.org/resource/Battle_of_France> . ?x <http://dbpedia.org/ontology/award> ?uri  . },3.0,2.0,0.0,1.0,0.0,1.0,0.0,13.0,0.0,0.0
733,10733.0,What is the owner of Ivanpah Solar Power Facility and the original developer of Dart ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ivanpah_Solar_Power_Facility> <http://dbpedia.org/ontology/owner> ?uri. <http://dbpedia.org/resource/Dart_(programming_language)> <http://dbpedia.org/ontology/developer> ?uri} ,4.0,2.0,0.0,0.0,1.0,2.0,0.0,15.0,0.0,0.0
736,10736.0,Which shows had their painters born in England ?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/birthPlace> <http://dbpedia.org/resource/England> . ?uri <http://dbpedia.org/ontology/creator> ?x  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow>},4.0,1.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0,0.0
740,10740.0,Which contnet license provider of Microsoft Office Picture Manager is also the game platform of Google Clud Connect ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Microsoft_Office_Picture_Manager> <http://dbpedia.org/ontology/license> ?uri. <http://dbpedia.org/resource/Google_Cloud_Connect> <http://dbpedia.org/ontology/computingPlatform> ?uri} ,4.0,2.0,0.0,0.0,1.0,2.0,0.0,18.0,0.0,0.0
741,10741.0,Did Stan Lee create the Iceman comics ?,ASK WHERE { <http://dbpedia.org/resource/Iceman_(comics)> <http://dbpedia.org/property/creators> <http://dbpedia.org/resource/Stan_Lee> },3.0,0.0,1.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0
742,10742.0,Whihc party of the Mizoram Legislative Assembly is the government type of kumta ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Kumta> <http://dbpedia.org/ontology/governmentType> ?uri. <http://dbpedia.org/resource/Mizoram_Legislative_Assembly> <http://dbpedia.org/property/party> ?uri} ,4.0,1.0,0.0,0.0,1.0,2.0,0.0,13.0,0.0,0.0
744,10744.0,Which division of Serbia national team is also the region of Dobinsk Ice Cave ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Serbia_national_American_football_team> <http://dbpedia.org/ontology/division> ?uri. <http://dbpedia.org/resource/Dobšinská_Ice_Cave> <http://dbpedia.org/ontology/region> ?uri} ,4.0,2.0,0.0,0.0,1.0,2.0,0.0,14.0,0.0,0.0
745,10745.0,Ernest Rutherford was the advisor of how many people ?,SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/property/doctoralAdvisor> <http://dbpedia.org/resource/Ernest_Rutherford>  . },2.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,0.0,0.0
749,10749.0,Does Jevan Snead play as Quarterback ?,ASK WHERE { <http://dbpedia.org/resource/Jevan_Snead> <http://dbpedia.org/property/position> <http://dbpedia.org/resource/Quarterback> },3.0,0.0,1.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0
750,10750.0,In how many nations is Coconut a common food ingredient ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/ingredient> <http://dbpedia.org/resource/Coconut> . ?x <http://dbpedia.org/property/country> ?uri  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country>},4.0,1.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,0.0
751,10751.0,Is tahiti in the Society Islands achipelago ?,ASK WHERE { <http://dbpedia.org/resource/Tahiti> <http://dbpedia.org/property/archipelago> <http://dbpedia.org/resource/Society_Islands> },3.0,0.0,1.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0
752,10752.0,How many games have been composed by Hirokazu Tanaka ?,SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/property/composer> <http://dbpedia.org/resource/Hirokazu_Tanaka>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/VideoGame>},3.0,0.0,0.0,1.0,0.0,1.0,1.0,9.0,0.0,0.0
755,10755.0,List the total number of regions of the building whose are located in\Grand Forks Air Force Base ?, SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/region> <http://dbpedia.org/resource/Grand_Forks_Air_Force_Base> . ?x <http://dbpedia.org/ontology/region> ?uri },3.0,2.0,0.0,0.0,1.0,1.0,0.0,17.0,0.0,0.0
756,10756.0,Which religion's people are member of BJP ?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/party> <http://dbpedia.org/resource/Bharatiya_Janata_Party> . ?x <http://dbpedia.org/ontology/religion> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person>},4.0,1.0,0.0,0.0,1.0,1.0,1.0,7.0,0.0,0.0
758,10758.0,How many dishes are made with an ingredient belonging to the flowering plant species ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/division> <http://dbpedia.org/resource/Flowering_plant> . ?uri <http://dbpedia.org/ontology/ingredient> ?x  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Food>},4.0,2.0,0.0,1.0,0.0,1.0,1.0,14.0,0.0,0.0
759,10759.0,Was the Funky Lab Rat released in North America ?,ASK WHERE { <http://dbpedia.org/resource/Funky_Lab_Rat> <http://dbpedia.org/property/released> <http://dbpedia.org/resource/North_America> },3.0,0.0,1.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0
760,10760.0,Which is the city closest to both the Lodaiska site and the home of David w brown ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/LoDaisKa_Site> <http://dbpedia.org/ontology/nearestCity> ?uri. <http://dbpedia.org/resource/David_W._Brown_House> <http://dbpedia.org/ontology/nearestCity> ?uri . },4.0,2.0,0.0,0.0,1.0,2.0,0.0,17.0,0.0,0.0
761,10761.0,"What is the state of the settlement, which is the sub assembly of Mohamedia, Tunisia ?","SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Mohamedia,_Tunisia> <http://dbpedia.org/ontology/isPartOf> ?x . ?x <http://dbpedia.org/ontology/country> ?uri  . }",3.0,2.0,0.0,0.0,1.0,1.0,0.0,15.0,0.0,0.0
765,10765.0,What are the airlines whose hub airport is operated by the Los Angeles World Airports ?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/operator> <http://dbpedia.org/resource/Los_Angeles_World_Airports> . ?uri <http://dbpedia.org/ontology/hubAirport> ?x  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Airline>},4.0,2.0,0.0,0.0,1.0,1.0,1.0,15.0,0.0,0.0
766,10766.0,What is used as money for French Southern and Antarctic Lands is also the  product of the Karafarin Bank ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/French_Southern_and_Antarctic_Lands> <http://dbpedia.org/ontology/currency> ?uri. <http://dbpedia.org/resource/Karafarin_Bank> <http://dbpedia.org/ontology/product> ?uri} ,4.0,2.0,0.0,0.0,1.0,2.0,0.0,19.0,0.0,0.0
770,10770.0,How many bands collaborated with artists who signed up with EMI ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/recordLabel> <http://dbpedia.org/resource/EMI> . ?x <http://dbpedia.org/ontology/associatedMusicalArtist> ?uri  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Band>},4.0,2.0,0.0,1.0,0.0,1.0,1.0,11.0,0.0,0.0
772,10772.0,How many factions were fighting in the wars where Blue Jacket was a commander ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/property/commander> <http://dbpedia.org/resource/Blue_Jacket> . ?x <http://dbpedia.org/property/combatant> ?uri  . },3.0,0.0,0.0,1.0,0.0,1.0,0.0,14.0,0.0,0.0
773,10773.0,Did Stan Lee write the Daredevils ?,ASK WHERE { <http://dbpedia.org/resource/The_Daredevils> <http://dbpedia.org/property/writers> <http://dbpedia.org/resource/Stan_Lee> },3.0,0.0,1.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0
774,10774.0,How many record labels publish works of Jazz fusion ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/genre> <http://dbpedia.org/resource/Jazz_fusion> . ?x <http://dbpedia.org/ontology/recordLabel> ?uri  . },3.0,2.0,0.0,1.0,0.0,1.0,0.0,9.0,0.0,0.0
776,10776.0,"For how many movies have the music composer composed music, who have collaborated with Yes ?",SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/associatedMusicalArtist> <http://dbpedia.org/resource/Yes_(band)> . ?uri <http://dbpedia.org/ontology/musicComposer> ?x  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film>},4.0,2.0,0.0,0.0,1.0,1.0,1.0,15.0,0.0,0.0
777,10777.0,What is the total number of other nearest countries to the lakes whose nearest countries is Uganda ?, SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/nearestCity> <http://dbpedia.org/resource/Uganda> . ?x <http://dbpedia.org/ontology/nearestCity> ?uri },3.0,2.0,0.0,0.0,1.0,1.0,0.0,17.0,0.0,0.0
780,10780.0,Was Buzz Williams the headcoach of the Marquette Golden Eagles mens team ?,ASK WHERE { <http://dbpedia.org/resource/2013–14_Marquette_Golden_Eagles_men's_basketball_team> <http://dbpedia.org/property/headcoach> <http://dbpedia.org/resource/Buzz_Williams> },3.0,0.0,1.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0
781,10781.0,How many units follow the US Navy Department's command structure ?,SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/ontology/commandStructure> <http://dbpedia.org/resource/United_States_Department_of_the_Navy>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MilitaryUnit>},3.0,1.0,0.0,1.0,0.0,1.0,1.0,10.0,0.0,0.0
782,10782.0,Which education institute of Duncan U. Fletcher is also the university of Vanderbilt Commodores ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Duncan_U._Fletcher> <http://dbpedia.org/ontology/almaMater> ?uri. <http://dbpedia.org/resource/Vanderbilt_Commodores> <http://dbpedia.org/ontology/university> ?uri} ,4.0,2.0,0.0,0.0,1.0,2.0,0.0,14.0,0.0,0.0
787,10787.0,Was mother teresa beatified by John Paul the second ?,ASK WHERE { <http://dbpedia.org/resource/Mother_Teresa> <http://dbpedia.org/property/beatifiedBy> <http://dbpedia.org/resource/Pope_John_Paul_II> },3.0,0.0,1.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0
788,10788.0,How many different people hold authority over the members of Balanidae family ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/family> <http://dbpedia.org/resource/Balanidae> . ?x <http://dbpedia.org/ontology/binomialAuthority> ?uri  . },3.0,2.0,0.0,1.0,0.0,1.0,0.0,12.0,0.0,0.0
791,10791.0,Which common prime minister did Graham Richardson and Bon McMullan serve ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Graham_Richardson> <http://dbpedia.org/ontology/primeMinister> ?uri. <http://dbpedia.org/resource/Bob_McMullan> <http://dbpedia.org/ontology/primeMinister> ?uri . },4.0,2.0,0.0,0.0,1.0,2.0,0.0,11.0,0.0,0.0
795,10795.0,What awards have been given to Screenwriters ?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/occupation> <http://dbpedia.org/resource/Screenwriter> . ?x <http://dbpedia.org/property/awards> ?uri  . },3.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0
797,10797.0,Which Harris County based company is a subsidiary of Tandem Computers ?,"SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/locationCity> <http://dbpedia.org/resource/Harris_County,_Texas> . ?uri <http://dbpedia.org/ontology/subsidiary> <http://dbpedia.org/resource/Tandem_Computers>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Company>}",5.0,2.0,0.0,0.0,1.0,2.0,1.0,11.0,0.0,0.0
798,10798.0,What is the baseball team whose club manager's debut team is Houston Astros ?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/debutTeam> <http://dbpedia.org/resource/Houston_Astros> . ?uri <http://dbpedia.org/ontology/manager> ?x  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/BaseballTeam>},4.0,2.0,0.0,0.0,1.0,1.0,1.0,13.0,0.0,0.0
799,10799.0,How many corporations were founded in Texas ?,SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/ontology/foundationPlace> <http://dbpedia.org/resource/Texas>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Company>},3.0,1.0,0.0,1.0,0.0,1.0,1.0,7.0,0.0,0.0
803,10803.0,Count all the places where companies located in Ontario operate. ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/locationCity> <http://dbpedia.org/resource/Ontario> . ?x <http://dbpedia.org/property/locations> ?uri  . },3.0,1.0,0.0,1.0,0.0,1.0,0.0,10.0,0.0,0.0
806,10806.0,Does Jean Louis Arcand work for Geneva ?,ASK WHERE { <http://dbpedia.org/resource/Jean-Louis_Arcand> <http://dbpedia.org/property/institution> <http://dbpedia.org/resource/Geneva> },3.0,0.0,1.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0
807,10807.0,How many religions are followed amongst the people who've worked in the Korean army ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/militaryBranch> <http://dbpedia.org/resource/Republic_of_Korea_Army> . ?x <http://dbpedia.org/ontology/religion> ?uri  . },3.0,2.0,0.0,1.0,0.0,1.0,0.0,14.0,0.0,0.0
810,10810.0,Is Esther Alder the mayor of Geneva ?,ASK WHERE { <http://dbpedia.org/resource/Geneva> <http://dbpedia.org/property/mayor> <http://dbpedia.org/resource/Esther_Alder> },3.0,0.0,1.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0
814,10814.0,"How many companies were founded in Menlo Park, California ?","SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/property/foundation> <http://dbpedia.org/resource/Menlo_Park,_California>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Company>}",3.0,0.0,0.0,1.0,0.0,1.0,1.0,9.0,0.0,0.0
815,10815.0,What is the television show whose channel's parent organisation is Fox Sports ?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/parentOrganisation> <http://dbpedia.org/resource/Fox_Sports_(United_States)> . ?uri <http://dbpedia.org/ontology/channel> ?x  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow>},4.0,2.0,0.0,0.0,1.0,1.0,1.0,12.0,0.0,0.0
817,10817.0,Where does Kafue and Shire river flow into ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Kafue_River> <http://dbpedia.org/ontology/riverMouth> ?uri. <http://dbpedia.org/resource/Shire_River> <http://dbpedia.org/ontology/riverMouth> ?uri . },4.0,2.0,0.0,0.0,1.0,2.0,0.0,8.0,0.0,0.0
819,10819.0,was Charlemagne canonized by antipope pachal 3 ?,ASK WHERE { <http://dbpedia.org/resource/Charlemagne> <http://dbpedia.org/property/canonizedBy> <http://dbpedia.org/resource/Antipope_Paschal_III> },3.0,0.0,1.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0
821,10821.0,Is Akan spoken in Ghana ?,ASK WHERE { <http://dbpedia.org/resource/Ghana> <http://dbpedia.org/property/languages> <http://dbpedia.org/resource/Akan_language> },3.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0
822,10822.0,How many basketball players studied in the Midland College ?,SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/ontology/college> <http://dbpedia.org/resource/Midland_College>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/BasketballPlayer>},3.0,1.0,0.0,1.0,0.0,1.0,1.0,9.0,0.0,0.0
824,10824.0,Is Liang Chow the headcoach of Shawn Johnson ?,ASK WHERE { <http://dbpedia.org/resource/Shawn_Johnson> <http://dbpedia.org/property/headcoach> <http://dbpedia.org/resource/Liang_Chow> },3.0,0.0,1.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0
825,10825.0,What ethinicity of Linda Hogan is also the state of origin of Holmes Colbert ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Linda_Hogan> <http://dbpedia.org/ontology/ethnicity> ?uri. <http://dbpedia.org/resource/Holmes_Colbert> <http://dbpedia.org/ontology/stateOfOrigin> ?uri} ,4.0,2.0,0.0,0.0,1.0,2.0,0.0,14.0,0.0,0.0
826,10826.0,"What other destinations do airlines go to, whose flights also come to Glasgow ?",SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/targetAirport> <http://dbpedia.org/resource/Glasgow_Airport> . ?x <http://dbpedia.org/property/destinations> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Airline>},4.0,1.0,0.0,0.0,1.0,1.0,1.0,13.0,0.0,0.0
828,10828.0,"Of the sports commonly played at Islamic Azad Uni, tehran, which one does Jon Speelman play ?", SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Jon_Speelman> <http://dbpedia.org/ontology/field> ?uri. <http://dbpedia.org/resource/Islamic_Azad_University_Central_Tehran_Branch> <http://dbpedia.org/ontology/sport> ?uri} ,4.0,2.0,0.0,0.0,1.0,2.0,0.0,16.0,0.0,0.0
831,10831.0,What is the birth location of the pope who was canonized by Agatha of Sicily ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Agatha_of_Sicily> <http://dbpedia.org/ontology/canonizedBy> ?x . ?x <http://dbpedia.org/property/birthPlace> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Pope>},4.0,1.0,0.0,0.0,1.0,1.0,1.0,15.0,0.0,0.0
832,10832.0,What is the common country of Ganz UV and Balaton wine region ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ganz_UV> <http://dbpedia.org/ontology/operator> ?uri. <http://dbpedia.org/resource/Balaton_wine_region> <http://dbpedia.org/ontology/location> ?uri} ,4.0,2.0,0.0,0.0,1.0,2.0,0.0,12.0,0.0,0.0
835,10835.0,Which destination of the Novair International Airways is also the  predecessor of the Chevrolet Caprice ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Novair_International_Airways> <http://dbpedia.org/ontology/destination> ?uri. <http://dbpedia.org/resource/Chevrolet_Caprice> <http://dbpedia.org/ontology/predecessor> ?uri} ,4.0,2.0,0.0,0.0,1.0,2.0,0.0,15.0,0.0,0.0
838,10838.0,How many people have been trained in an institute located in California ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/property/city> <http://dbpedia.org/resource/California> . ?uri <http://dbpedia.org/property/training> ?x  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person>},4.0,0.0,0.0,1.0,0.0,1.0,1.0,12.0,0.0,0.0
839,10839.0,Which composer subsequent work of Moondog Matinee and also composed The TImes They are A changin ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Times_They_Are_a-Changin'_(musical)> <http://dbpedia.org/ontology/musicBy> ?uri. <http://dbpedia.org/resource/Moondog_Matinee> <http://dbpedia.org/ontology/subsequentWork> ?uri} ,4.0,2.0,0.0,0.0,1.0,2.0,0.0,16.0,0.0,0.0
842,10842.0,Does the Amazon River start in Arequipa Region ?,ASK WHERE { <http://dbpedia.org/resource/Amazon_River> <http://dbpedia.org/property/sourceRegion> <http://dbpedia.org/resource/Arequipa_Region> },3.0,0.0,1.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0
