,QuestionID,Question,Label1,Label2,Dbpedia-Relation,RelationTotal,wordCountWithput@@@,Word Count(Avg),Explicit(Avg),Hidden(Avg),Common,relnliodLogs,qanary_component-DiambiguationProperty-OKBQA,qanary_component-AnnotationofSpotProperty,K-cap,isiah
686,10826,Who is the governor of Carl McCall ?,come to,destination,http://dbpedia.org/ontology/targetAirport,1,3.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0,0
688,10828,Name the television show created by CE Webber and also has actor named Companion ?,played ,@@@,"http://dbpedia.org/ontology/field,http://dbpedia.org/ontology/sport",2,0.5,1.0,0.0,0.5,0,0.0,0.0,0.0,0,0
692,10832,What is the total number of  builder of the military structures whose builder is also United States ?,country ,500000,"http://dbpedia.org/ontology/operator,http://dbpedia.org/ontology/location",2,1.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0,0
694,10834,What is the total number of guests on the show whose theme music is Let me be your star ?,os,0.0,http://dbpedia.org/ontology/operatingSystem,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
698,10839,What are the movies whose music is composed by Vangelis ?,subsiquent work,composed,"http://dbpedia.org/ontology/musicBy,http://dbpedia.org/ontology/subsequentWork",2,1.5,1.5,0.0,0.0,0,0.0,0.0,0.0,0,0
701,10844,Which series are Lennier and Londo Mollari both from ?,music,distributed by,"http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/distributor",2,1.5,1.5,0.0,0.0,0,0.0,0.0,0.0,0,0
702,10845,Graduates of Somerville College have been in how many political parties ?,proprietor,0.0,http://dbpedia.org/ontology/owner,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
703,10846,What are some primates ?,in,cities,http://dbpedia.org/ontology/inflow,1,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0
708,10851,List all the collaborators of the artist which has collaborated with sanremo Music Festival ?,source place,mouth place,"http://dbpedia.org/ontology/sourcePlace,http://dbpedia.org/ontology/mouthPlace",2,2.0,2.0,1.0,0.0,0,0.0,0.0,0.0,0,0
711,10856,"Where does the railway tracks start, which ends in Kazan ?",flows,500000,"http://dbpedia.org/ontology/river,http://dbpedia.org/ontology/river",2,1.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0,0
716,10861,Was Lucrezia Tornabuoni the mother of Lorenzo de' Medici ?,pole driver,first team,http://dbpedia.org/ontology/poleDriver,1,4.0,4.0,1.0,0.0,0,0.0,0.0,0.0,0,0
717,10862,List of people who were the first one to ascend a mountain in the Cathedral range ?,produced,related,"http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/ontology/related",2,1.0,1.0,0.5,0.0,0,0.0,0.0,0.0,0,0
719,10864,In how many different places can I fnd Modern Architectural buildings ?,worked ,current member,http://dbpedia.org/ontology/bandMember,1,3.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0,0
721,10871,What is the type of Vesak ?,own,0.0,http://dbpedia.org/ontology/owningOrganisation,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
726,10877,Did Phillippe Cabot go to Columbia for studying ?,operating system,operating system,"http://dbpedia.org/ontology/operatingSystem,http://dbpedia.org/ontology/operatingSystem",2,2.0,2.0,1.0,0.0,0,0.0,0.0,0.0,0,0
727,10878,Which rivers start at the Brower's Spring ?,route end,0.0,http://dbpedia.org/ontology/routeEnd,1,2.0,2.0,1.0,0.0,0,0.0,0.0,0.0,0,0
729,10881,Which draft team od Dale Mitchell is also the tenant of Master Card center / ?,editor,0.0,http://dbpedia.org/ontology/publisher,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
733,10886,What is the owner of Ivanpah Solar Power Facility and the original developer of Dart ?,driver pole,0.0,http://dbpedia.org/ontology/poleDriver,1,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0
737,10890,What is the former team of the american football players whose position is Running back ?,coach,debut team,http://dbpedia.org/ontology/debutTeam,1,3.0,3.0,1.0,0.0,0,0.0,0.0,0.0,0,0
740,10894,Which contnet license provider of Microsoft Office Picture Manager is also the game platform of Google Clud Connect ?,@@@,famous,"http://dbpedia.org/ontology/field,http://dbpedia.org/ontology/knownFor",2,0.5,1.0,0.0,0.5,0,0.0,0.0,0.0,0,0
741,10895,Did Stan Lee create the Iceman comics ?,manufacturer,manager,"http://dbpedia.org/ontology/governingBody,http://dbpedia.org/ontology/manufacturer",2,1.0,1.0,0.5,0.0,0,0.0,0.0,0.0,0,0
742,10897,Whihc party of the Mizoram Legislative Assembly is the government type of kumta ?,places,founded,http://dbpedia.org/ontology/foundationPlace,1,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0
743,10898,What currencies are circulated in the countries where people speak French ?,own,contributes,"http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/owner",2,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
745,10900,Ernest Rutherford was the advisor of how many people ?,flowing into,cities,"http://dbpedia.org/ontology/mouthMountain,http://dbpedia.org/ontology/city",2,1.5,1.5,0.0,0.0,0,0.0,0.0,0.0,0,0
746,10903,Where were some people associated with Steve Winwood employed at ?,networks,are from,http://dbpedia.org/ontology/locationCountry,1,3.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0,0
751,10911,Is tahiti in the Society Islands achipelago ?,published,0.0,http://dbpedia.org/ontology/publisher,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
753,10914,Name few television shows's anchored by Ryan Seacrest ?,born,screenplay,http://dbpedia.org/ontology/birthPlace,1,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0
756,10917,Which religion's people are member of BJP ?,play,0.0,http://dbpedia.org/ontology/team,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
757,10920,Count the different alma maters of people employed by the CNN ?,died in,religion,"http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/ontology/religion",2,1.5,1.5,0.5,0.0,0,0.0,0.0,0.0,0,0
762,10925,Whose leaders are Willem-Alexander and Fredis Refunjol ?,countries,@@@,"http://dbpedia.org/ontology/county,http://dbpedia.org/ontology/county",2,0.5,1.0,0.0,0.5,0,0.0,0.0,0.0,0,0
765,10929,What are the airlines whose hub airport is operated by the Los Angeles World Airports ?,@@@,0.0,http://dbpedia.org/ontology/family,1,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0,0
769,10934,Who wrote Catch My soul ?,released,0.0,http://dbpedia.org/ontology/previousWork,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
771,10936,In which places can we find the people won the Project Runaway Canada ?,related,0.0,http://dbpedia.org/ontology/related,1,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0,0
772,10937,How many factions were fighting in the wars where Blue Jacket was a commander ?,two,0.0,http://dbpedia.org/ontology/subsequentWork,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
778,10948,Give me some shows owned by BBC one and BBC hd ?,operating,0.0,http://dbpedia.org/ontology/regionServed,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
779,10949,List out the people who are related to the relatives of Jared Kushner ?,states,anthom,"http://dbpedia.org/ontology/anthem,http://dbpedia.org/ontology/country",2,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
780,10950,Was Buzz Williams the headcoach of the Marquette Golden Eagles mens team ?,country,players,"http://dbpedia.org/ontology/club,http://dbpedia.org/ontology/nationality",2,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
781,10951,How many units follow the US Navy Department's command structure ?,owns,0.0,http://dbpedia.org/ontology/owningOrganisation,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
782,10952,Which education institute of Duncan U. Fletcher is also the university of Vanderbilt Commodores ?,messengers,0.0,http://dbpedia.org/ontology/veneratedIn,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
783,10953,Who built the Ford Y-block engine ?,founded,division,"http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/ontology/division",2,1.0,1.0,0.5,0.0,0,0.0,0.0,0.0,0,0
784,10954,Is Plymouth High School for Girls in Devon county ?,hub airport,largest city,"http://dbpedia.org/ontology/hubAirport,http://dbpedia.org/ontology/largestCity",2,2.0,2.0,1.0,0.0,0,0.0,0.0,0.0,0,0
792,10964,Name the alma mater of Ernest de Saisset ?,religion,500000,"http://dbpedia.org/ontology/religion,http://dbpedia.org/ontology/religion",2,1.0,1.0,0.5,0.0,1,0.0,0.0,0.0,0,0
800,10975,List all binomial authority of the insects whose one of the  binomial authority is douard Mntries ?,fly to,0.0,http://dbpedia.org/ontology/destination,1,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0
801,10976,In which state is Red Willow Creek ?,debuted,0.0,http://dbpedia.org/ontology/debutTeam,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
804,10980,What politician's partner is Diana Taylor ?,command structure,command structure,"http://dbpedia.org/ontology/commandStructure,http://dbpedia.org/ontology/commandStructure",2,2.0,2.0,1.0,0.0,0,0.0,0.0,0.0,0,0
805,10982,What is the district of Methodist Central Hall Westminster ?,awards,training,"http://dbpedia.org/ontology/training,http://dbpedia.org/ontology/award",2,1.0,1.0,0.5,0.0,0,0.0,0.0,0.0,0,0
810,10987,Is Esther Alder the mayor of Geneva ?,participate,0.0,http://dbpedia.org/ontology/commander,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
812,10990,Where does the Jerusalem Institute of Justice render their services ?,religion,@@@,http://dbpedia.org/ontology/religion,1,1.0,2.0,1.0,1.0,0,0.0,0.0,0.0,0,0
813,10991,Which political party got elected in First Legislative Assembly of Uttar Pradesh ?,head coach,@@@,http://dbpedia.org/ontology/manager,1,2.0,3.0,0.0,1.0,0,0.0,0.0,0.0,0,0
815,10993,What is the television show whose channel's parent organisation is Fox Sports ?,games,@@@,"http://dbpedia.org/ontology/state,http://dbpedia.org/ontology/athletics",2,0.5,1.0,0.0,0.5,0,0.0,0.0,0.0,0,0
818,10996,Who is the president when Loretta Ucelli used to work for Democratic party ?,left tributary,state,"http://dbpedia.org/ontology/leftTributary,http://dbpedia.org/ontology/state",2,1.5,1.5,1.0,0.0,0,0.0,0.0,0.0,0,0
823,11004,Rickenbacker is a musical instrument played by which artists ?,written,0.0,http://dbpedia.org/ontology/nonFictionSubject,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
825,11006,What ethinicity of Linda Hogan is also the state of origin of Holmes Colbert ?,associated band,associated musical artist,"http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/ontology/associatedMusicalArtist",2,2.5,2.5,1.0,0.0,0,0.0,0.0,0.0,0,0
826,11007,"What other destinations do airlines go to, whose flights also come to Glasgow ?",start,0.0,http://dbpedia.org/ontology/sourceMountain,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
827,11008,Where did Steve Romeo dies ?,graduates,worked ,"http://dbpedia.org/ontology/militaryUnit,http://dbpedia.org/ontology/almaMater",2,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
836,11018,What are some scientists who have stateless citizenship ?,music composer,@@@,"http://dbpedia.org/ontology/instrument,http://dbpedia.org/ontology/musicComposer",2,1.0,1.5,0.5,0.5,0,0.0,0.0,0.0,0,0
840,11025,Name whose youth club was FC Barcelona ?,border,municipality,"http://dbpedia.org/ontology/municipality,http://dbpedia.org/ontology/border",2,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0,0
844,11029,List the movie whose music was given by Geoffrey Burgon and distributed by Cinema International Corporation ?,left tributary,begin,"http://dbpedia.org/ontology/leftTributary,http://dbpedia.org/ontology/source",2,1.5,1.5,0.5,0.0,0,0.0,0.0,0.0,0,0
845,11030,Which football teams is Shahid Khan proprietor to ?,coached,players,"http://dbpedia.org/ontology/team,http://dbpedia.org/ontology/manager",2,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
847,11034,What are all the prizes won by the writer of A Grand Day Out ?,religious,0.0,http://dbpedia.org/ontology/religion,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
850,11037,"Where is the ground of the soccer club, which has Alan Kusov as a team member ?",opposed,@@@,"http://dbpedia.org/ontology/opponent,http://dbpedia.org/ontology/opponent",2,0.5,1.0,0.0,0.5,0,0.0,0.0,0.0,0,0
853,11040,Who is the writer of the Cavalcade of America and The United States Steel Hour ?,known for,known for,"http://dbpedia.org/ontology/knownFor,http://dbpedia.org/ontology/knownFor",2,2.0,2.0,1.0,0.0,0,0.0,0.0,0.0,0,0
857,11046,What is the nationality of the golf player who won the  2002 Players Championship ?,album,0.0,http://dbpedia.org/ontology/album,1,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0,0
858,11048,Which companies are founded in the city of which Collin County Texas is a part ?,conflict,conflict,"http://dbpedia.org/ontology/battle,http://dbpedia.org/ontology/battle",2,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
860,11051,Who is the former partner of Chris Knierim ?,fought,0.0,http://dbpedia.org/ontology/territory,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
868,11059,Count me all the video game distributor whose parent company is Warner Bros ?,territory,500000,"http://dbpedia.org/ontology/territory,http://dbpedia.org/ontology/territory",2,1.0,1.0,0.5,0.0,1,0.0,0.0,0.0,0,0
876,11070,List the state of the universities whose nation is United States ?,origin,0.0,http://dbpedia.org/ontology/sourceRegion,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
878,11072,Does the Utah State Route 162 end at Colorado ?,country,@@@,"http://dbpedia.org/ontology/locationCountry,http://dbpedia.org/ontology/locationCountry",2,0.5,1.0,0.0,0.5,0,0.0,0.0,0.0,0,0
879,11073,Is jim harbaugh currently in the Michigan Wolverines ?,band,performed,"http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/ontology/associatedMusicalArtist",2,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
886,11084,Which driver had the pole position in 1994 Spanish Grand Prix ?,work,work,"http://dbpedia.org/ontology/occupation,http://dbpedia.org/ontology/occupation",2,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
889,11087,What borders siberia ?,reached,@@@,http://dbpedia.org/ontology/targetAirport,1,1.0,2.0,0.0,1.0,0,0.0,0.0,0.0,0,0
891,11089,Did John Byrne create Emma Frost ?,head coach,0.0,http://dbpedia.org/ontology/manager,1,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0
895,11095,Which manufacturer of the Boeing B-17 Flying fortress is the manager of burro Flats Painted Caves ?,born,city,"http://dbpedia.org/ontology/region,http://dbpedia.org/ontology/birthPlace",2,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
897,11097,In how many different places can I find companies which were founded in toronto ?,currency,administrative headquarters,"http://dbpedia.org/ontology/currency,http://dbpedia.org/ontology/capital",2,1.5,1.5,0.5,0.0,0,0.0,0.0,0.0,0,0
903,11105,What shows are on the networks which are from the United States ?,bronze medal,silver medal,"http://dbpedia.org/ontology/bronzeMedalist,http://dbpedia.org/ontology/silverMedalist",2,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0
908,11112,What is the death place of the Marina Pankova and Viktor Ulyanich ?,produces,famous,"http://dbpedia.org/ontology/knownFor,http://dbpedia.org/ontology/producer",2,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
909,11114,What famous work is derived from the one whose lyrics are written by Inma Gonzales ?,@@@,0.0,http://dbpedia.org/ontology/type,1,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0,0
910,11115,How many services are there of the companies whose services is Web hosting service ?,musician,0.0,http://dbpedia.org/ontology/musicalArtist,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
914,11119,Some movies whose screenplay is done by american born people ?,flow into,0.0,http://dbpedia.org/ontology/rightTributary,1,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0
915,11121,Who is the narrator of The Price of Beauty ?,developed by,0.0,http://dbpedia.org/ontology/developer,1,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0
916,11122,Enumerate all those who are in the Board of companies founded in New York ?,known for,known for,"http://dbpedia.org/ontology/knownFor,http://dbpedia.org/ontology/knownFor",2,2.0,2.0,1.0,0.0,0,0.0,0.0,0.0,0,0
917,11123,Who did Bruce Bochy play for ?,railway line,0.0,http://dbpedia.org/ontology/servingRailwayLine,1,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0
928,11137,What is the airline company has its headquarters in Dublin Airport ?,originated,@@@,http://dbpedia.org/ontology/foundationPlace,1,1.0,2.0,0.0,1.0,0,0.0,0.0,0.0,0,0
930,11139,Is Dave Schulz a band member of Berlin ?,university,club manager,"http://dbpedia.org/ontology/institution,http://dbpedia.org/ontology/managerClub",2,1.5,1.5,0.0,0.0,0,0.0,0.0,0.0,0,0
933,11142,In which mountain Inyo National Forest and California are located ?,in,0.0,http://dbpedia.org/ontology/routeEnd,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
939,11150,Is Gutenberg neighbouring with Madiswil ?,awards,@@@,http://dbpedia.org/ontology/almaMater,1,1.0,2.0,0.0,1.0,0,0.0,0.0,0.0,0,0
943,11154,How many different mascots are there of the NCAA teams ?,nation,located,"http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/ontology/country",2,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
944,11155,What is the river whose tributary is Zarqa River ?,sister station,network,http://dbpedia.org/ontology/sisterStation,1,3.0,3.0,1.0,0.0,0,0.0,0.0,0.0,0,0
947,11158,Give me a count of bridges located in California ?,near,@@@,"http://dbpedia.org/ontology/nearestCity,http://dbpedia.org/ontology/location",2,0.5,1.0,0.0,0.5,0,0.0,0.0,0.0,0,0
948,11159,List the companies operating in Australia ?,flow into,0.0,http://dbpedia.org/ontology/mouthMountain,1,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0
951,11164,Who owns the ford kansas assembly plant ?,garrison,known for,http://dbpedia.org/ontology/garrison,1,3.0,3.0,1.0,0.0,0,0.0,0.0,0.0,0,0
955,11170,Name the source of Raa ?,command structure,garrison,"http://dbpedia.org/ontology/commandStructure,http://dbpedia.org/ontology/garrison",2,1.5,1.5,1.0,0.0,0,0.0,0.0,0.0,0,0
958,11174,Which cities have the river one of whose Tributary is the Missouri's big spring ?,@@@,0.0,http://dbpedia.org/ontology/citizenship,1,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0,0
960,11176,return some  players who have played in the NBA ?,cities,play,"http://dbpedia.org/ontology/formerTeam,http://dbpedia.org/ontology/locationCity",2,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
961,11177,How many have been venerateds in Islam and Judaism ?,neighboring,0.0,http://dbpedia.org/ontology/neighboringMunicipality,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
971,11188,How many factions were involved in the battles fought by Arthur St. Clair ?,architect,@@@,"http://dbpedia.org/ontology/architect,http://dbpedia.org/ontology/tenant",2,0.5,1.0,0.5,0.5,0,0.0,0.0,0.0,0,0
972,11189,List borders of the admin region bordering Arctic ocean ?,non-fiction subject,non-fiction subject,"http://dbpedia.org/ontology/nonFictionSubject,http://dbpedia.org/ontology/nonFictionSubject",2,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0
973,11190,Is Giorgos Kaminis the mayor of Athens ?,city,countries,http://dbpedia.org/ontology/country,1,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0
974,11191,In which military conflict were Phm Vn ng and John McEwen commanders ?,part,part,"http://dbpedia.org/ontology/part,http://dbpedia.org/ontology/part",2,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0,0
975,11192,Does Air 2000 fly to the north american continent ?,wine region,wine region,"http://dbpedia.org/ontology/wineRegion,http://dbpedia.org/ontology/wineRegion",2,2.0,2.0,1.0,0.0,0,0.0,0.0,0.0,0,0
976,11194,How many players debuted their careers from San Francisco 49ers ?,founded,founded,"http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/ontology/foundationPlace",2,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
978,11197,Did Bob Dylan write the lyrics of the times they are a changin' ?,debuted,clubs,"http://dbpedia.org/ontology/debutTeam,http://dbpedia.org/ontology/team",2,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
980,11199,What is the military unit whose command structures are United States Department of the Navy and United States Department of Defense ?,@@@,@@@,"http://dbpedia.org/ontology/currency,http://dbpedia.org/ontology/currency",2,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0,0
992,11215,Who was on the boards of Freedom of the City and Royal Society ?,live ,official language,"http://dbpedia.org/ontology/officialLanguage,http://dbpedia.org/ontology/residence",2,1.5,1.5,0.5,0.0,0,0.0,0.0,0.0,0,0
994,11217,What is the almamater of the president whose vice president was Enrique Jos Varona ?,awards,important people,"http://dbpedia.org/ontology/keyPerson,http://dbpedia.org/ontology/award",2,1.5,1.5,0.0,0.0,0,0.0,0.0,0.0,0,0
999,11222,Stockholm is the HQ of how many things ?,sport,play for,"http://dbpedia.org/ontology/sport,http://dbpedia.org/ontology/occupation",2,1.5,1.5,0.5,0.0,0,0.0,0.0,0.0,0,0
1002,11226,What is the state of origin of Abbas Jafri ?,known for,@@@,"http://dbpedia.org/ontology/almaMater,http://dbpedia.org/ontology/knownFor",2,1.0,1.5,0.5,0.5,0,0.0,0.0,0.0,0,0
1004,11229,Terry Pratchett has written about how many topics ?,religion,important office,http://dbpedia.org/ontology/religion,1,3.0,3.0,1.0,0.0,0,0.0,0.0,0.0,0,0
1005,11230,What is debut team of the baseball players who died in Los Angeles ?,mountain,mountain range,"http://dbpedia.org/ontology/parentMountainPeak,http://dbpedia.org/ontology/mountainRange",2,1.5,1.5,0.5,0.0,0,0.0,0.0,0.0,0,0
1010,11235,Does Silver Airways have a hub at the Washington Dulles International Airport ?,died,0.0,http://dbpedia.org/ontology/deathCause,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
1014,11240,"Which company is located in Harris County, Texas ?",season,@@@,"http://dbpedia.org/ontology/league,http://dbpedia.org/ontology/ground",2,0.5,1.0,0.0,0.5,0,0.0,0.0,0.0,0,0
1016,11242,List all crafts of the people whose one of the profession is Kingdom of Naples ?,operates,0.0,http://dbpedia.org/ontology/operator,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
1020,11246,What ingredients are used in preparing the dish of Ragout fin ?,casted,0.0,http://dbpedia.org/ontology/starring,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
1023,11251,Does Ronaldinho play in the brazil's under 23 team ?,in,0.0,http://dbpedia.org/ontology/associatedBand,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
1025,11254,"What is on the border of the places which fall under crook county municipality, oregon ?",species,0.0,http://dbpedia.org/ontology/species,1,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0,0
1026,11255,"Name the common architecture of the Grand Serail of Aleppo and Shaheed Minar, Kolkata ?",tomb,author,"http://dbpedia.org/ontology/restingPlace,http://dbpedia.org/ontology/author",2,1.0,1.0,0.5,0.0,0,0.0,0.0,0.0,0,0
1030,11259,How many people have coached the players of Middlesbrough FC ?,located,0.0,http://dbpedia.org/ontology/locationCity,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
1033,11263,Give me a count of the services by the company which provides Data center as the services ?,first,0.0,http://dbpedia.org/ontology/firstAscentPerson,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
1035,11265,Which program was on NBC network with executive producer as Glen and Les Charles ?,songwriter,songwriter,"http://dbpedia.org/ontology/musicBy,http://dbpedia.org/ontology/author",2,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
1037,11268,Who is the person opposed  by Tom McLaury and Ike Clanton ?,city,0.0,http://dbpedia.org/ontology/hometown,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
1038,11269,Who all have developed a cross platform software ?,died in,known for,http://dbpedia.org/ontology/knownFor,1,4.0,4.0,1.0,0.0,0,0.0,0.0,0.0,0,0
1041,11273,Count everything garrisoned at the pentagon ?,awards,@@@,http://dbpedia.org/ontology/award,1,1.0,2.0,0.0,1.0,0,0.0,0.0,0.0,0,0
1044,11277,Find the total number of tenants of the stadium whose tenants was Toronto Marlies ?,known for,employes,"http://dbpedia.org/ontology/knownFor,http://dbpedia.org/ontology/occupation",2,1.5,1.5,0.5,0.0,0,0.0,0.0,0.0,0,0
1045,11278,Who voiced in Peanuts Motion Comics and The Peanuts Movie ?,minister,0.0,http://dbpedia.org/ontology/leader,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
1048,11281,Count the total number of conflicts people who were part of conflict in afghanisthan ?,nationality,relative,http://dbpedia.org/ontology/relative,1,2.0,2.0,1.0,0.0,0,0.0,0.0,0.0,0,0
1050,11285,Was Liliya Lobanova born in Ukraine ?,artist,associated closely,"http://dbpedia.org/ontology/artist,http://dbpedia.org/ontology/starring",2,1.5,1.5,0.5,0.0,0,0.0,0.0,0.0,0,0
1051,11286,Where was Sino-French War fought ?,written by,0.0,http://dbpedia.org/ontology/musicBy,1,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0
1052,11288,List all the major shrines of the saints which has one of the shrines as Debre Libanos ?,act,0.0,http://dbpedia.org/ontology/starring,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
1055,11291,List things developed by Autoconf ?,based,0.0,http://dbpedia.org/ontology/locationCity,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
1062,11300,What is the religion of the relatives of Ananda Weerasekara ?,party,500000,"http://dbpedia.org/ontology/affiliation,http://dbpedia.org/ontology/affiliation",2,1.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0,0
1063,11301,Is the song Only the Good Die Young from The Stranger ?,released for,0.0,http://dbpedia.org/ontology/computingPlatform,1,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0
1066,11304,What medals have been given to people who died of lung cancer ?,die,0.0,http://dbpedia.org/ontology/deathPlace,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
1067,11306,Count the drinks originated in England. ?,located,0.0,http://dbpedia.org/ontology/locationCity,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
1068,11307,Is Angola Avante the anthem of Angola ?,mountain,0.0,http://dbpedia.org/ontology/mouthMountain,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
1071,11310,Is Tenzing Norgay  the first person to scale Mt. Everest ?,companies,@@@,"http://dbpedia.org/ontology/employer,http://dbpedia.org/ontology/employer",2,0.5,1.0,0.0,0.5,0,0.0,0.0,0.0,0,0
1073,11314,"What band was Afrika Baby Bam a part of, and often performed with Q Tip ?",live,@@@,http://dbpedia.org/ontology/residence,1,1.0,2.0,0.0,1.0,0,0.0,0.0,0.0,0,0
1082,11324,In how many places are the companies founded in Canada operating ?,@@@,@@@,"http://dbpedia.org/ontology/affiliation,http://dbpedia.org/ontology/affiliation",2,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0,0
1085,11327,How many things are manufactured by the company whose subsidiary is Sony Corporation shareholders and subsidiaries ?,band,0.0,http://dbpedia.org/ontology/associatedBand,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
1086,11328,Ford Air Transport Service and Falcon cobra are both owned by which company ?,genres,@@@,http://dbpedia.org/ontology/computingPlatform,1,1.0,2.0,0.0,1.0,0,0.0,0.0,0.0,0,0
