QuestionID,Question,TripleSize,RelationTotal,ResourceTotal,ClassTotal,QuestionLength,Resources,Words Count in Entity1,Special Character1,Explicit/Implicit E1,Capital/Small Letters E1,aylienNERagdistis,tagmeNEDlogs,DBpediaNERAgdistis3252,ambiverseNEDlogs,meaningcloudAgdistis,qanary_logs_DBpediaSpotlightNED,meaningCloudNEDnew,textrazorAgdistis,dandiNERAgdistisFINAL,dandilionNEDlogs,OntotextNEDlogs,babelfyAgdistis3000,ambiverseAgdistis,tagmeAgdistis,EntityClassifier_NER_Agdistis,newBabelfyNEDlogs,stanfordAgdistis,ontotextAgdistis,AmbiverseNED 2.0,AmbiverseStanford 2.0
10310,Who are the former partners of the figure skaters whose performance have been choreographed by Catarina Lindgren in the past ?,4,2,1,1,20,http://dbpedia.org/resource/Catarina_Lindgren,2,FALSE,TRUE,TRUE,,1,,1,,0,,1,0.6666666667,0.5,0.5,0.6666666667,,1,0.6666666667,0.6666666667,1,0.6666666667,1,1
10311,Which holy things canonized John of Damascus ?,2,1,1,0,7,http://dbpedia.org/resource/John_of_Damascus,3,FALSE,TRUE,FALSE,0,1,0,0,,0,,1,1,1,1,,,1,0,0.5,0,1,1,0
10312,Count the number of schools which are in a city governed by the West Berkshire Council ?,4,1,1,1,16,http://dbpedia.org/resource/West_Berkshire_Council,3,FALSE,TRUE,TRUE,1,1,1,,1,0,,,1,1,0.4,,,1,0.6666666667,0.25,1,0.6666666667,1,1
10313,Did Hank Williams Jr. make Early in the Morning and Late at Night ?,3,1,2,0,13,"http://dbpedia.org/resource/Early_in_the_Morning_and_Late_at_Night,http://dbpedia.org/resource/Hank_Williams_Jr.",8,FALSE,TRUE,FALSE,0,1,0,,0,0,,0,0,1,0.4,,,0,0,0,0,0,1,
10314,Is Pixar Canada a subsidiary of Pixar ?,3,1,2,0,7,"http://dbpedia.org/resource/Pixar,http://dbpedia.org/resource/Pixar_Canada",1,FALSE,TRUE,TRUE,0.6666666667,0.6666666667,0.6666666667,,0.6666666667,1,0.6666666667,,0.6666666667,0.6666666667,0.8,,,0.6666666667,0.6666666667,0.5,0.6666666667,0.6666666667,1,0.6666666667
10315,List some leaders of regions in the Indian Standard Time Zone ?,4,2,1,1,11,http://dbpedia.org/resource/Indian_Standard_Time,3,FALSE,TRUE,TRUE,1,1,1,,,1,,,,0.6666666667,0,,,1,0.6666666667,0,1,0,,
10316,Name the rivers originating from an English speaking nation ?,4,2,1,1,9,http://dbpedia.org/resource/English_language,2,FALSE,FALSE,FALSE,,,0,,,1,,0,0,1,0,,,,0,0.6666666667,0,0,,
10317,List the notable work of David Isaacs (writer) ?,2,1,1,0,8,http://dbpedia.org/resource/David_Isaacs_(writer),2,FALSE,FALSE,TRUE,1,1,1,0,,1,,1,1,0,,0,0,1,0.5,0,1,1,1,
10318,Tirana is the largest city of which country ?,3,1,1,1,8,http://dbpedia.org/resource/Tirana,1,FALSE,TRUE,TRUE,1,1,1,1,1,1,1,1,1,0.5,0.6666666667,0,1,1,1,0,1,1,1,1
10319,How many teams have used the stadium which hosted the WCW mayhem ?,4,1,1,1,12,http://dbpedia.org/resource/WCW_Mayhem,2,FALSE,TRUE,FALSE,,1,,,0,1,,,,0,0.6666666667,,,,0,0,,,,
10320,Was the Army Air Corps honored for the battle of Iraq ?,3,0,2,0,11,"http://dbpedia.org/resource/Army_Air_Corps_(United_Kingdom),http://dbpedia.org/resource/Iraq",3,FALSE,FALSE,TRUE,0.6666666667,0,0.5,0.6666666667,,0.5,,,0,0,0.5,,0,,0.5,0.25,0.5,0,1,0
10321,How many people have played for a club whose coach is Fred Hoiberg ?,3,1,1,0,13,http://dbpedia.org/resource/Fred_Hoiberg,2,FALSE,TRUE,TRUE,1,1,1,1,,1,,1,1,1,0.6666666667,1,,1,0.6666666667,0.6666666667,1,0.6666666667,1,
10322,How many relatives are there of people fought in the Battle of the Bulge ?,3,1,1,0,14,http://dbpedia.org/resource/Battle_of_the_Bulge,4,FALSE,TRUE,FALSE,,1,,,0,,,,0,0.5,0,0,,0,0,0.6666666667,,,,
10323,Is Truth prevails the national motto of Czechoslovakia ?,3,0,2,0,8,"http://dbpedia.org/resource/Czechoslovakia,http://dbpedia.org/resource/Truth_prevails",1,FALSE,TRUE,TRUE,0.6666666667,0.5,0.6666666667,0.6666666667,,0.6666666667,0.6666666667,0.6666666667,1,0.5,0.8,,,0.6666666667,0.4,0.6666666667,0.6666666667,1,1,
10324,Who was the bronze medalist of Swimming at the 2008 Summer Olympics  Men's 400 metre individual medley ?,2,1,1,0,17,http://dbpedia.org/resource/Swimming_at_the_2008_Summer_Olympics_–_Men's_400_metre_individual_medley,11,FALSE,FALSE,FALSE,,0,0,,,0,,,,0,0,,,0,0,0,0,0,,
10325,Which football players have Newell's Old Boys as youthclub ?,2,0,1,0,9,http://dbpedia.org/resource/Newell's_Old_Boys,3,FALSE,TRUE,TRUE,,1,,,1,0,,1,1,0,1,,,1,0,0,0,0.6666666667,1,0
10326,Does the little colorado river flow in the Grand Canyon ?,3,1,2,0,10,"http://dbpedia.org/resource/Little_Colorado_River,http://dbpedia.org/resource/Grand_Canyon",3,FALSE,TRUE,FALSE,0.6666666667,1,0.5,,0,0.5,0,,0.6666666667,1,1,,,,0.6666666667,0.3333333333,0.6666666667,,1,0
10327,Which educational institution of Jack Mcgregor is also the alma mater of Donn barber ?,4,2,2,0,14,"http://dbpedia.org/resource/Jack_McGregor,http://dbpedia.org/resource/Donn_Barber",2,FALSE,TRUE,TRUE,1,1,1,,0,0.8,,1,1,1,1,,,1,0.4,0.4,0.5,0.8,1,0
10328,How many religions are followed by the people in the Royal Thai Army ?,3,2,1,0,13,http://dbpedia.org/resource/Royal_Thai_Army,3,FALSE,TRUE,TRUE,1,1,1,,1,1,,,1,1,0.6666666667,,,1,1,0.5,1,1,1,1
10329,From which state do the White Plum Asangas come ?,3,2,1,0,9,http://dbpedia.org/resource/White_Plum_Asanga,3,FALSE,FALSE,TRUE,0,,,,1,1,,1,0,0,0,,,,1,,,1,,
10330,List the ceremonial county of East Tilbury ?,2,1,1,0,7,http://dbpedia.org/resource/East_Tilbury,2,FALSE,TRUE,TRUE,0.6666666667,1,0.6666666667,,,0.6666666667,,,1,1,0.5,,,1,0.5,0.4,,0.6666666667,,
10331,How many people are there who have relationship with Kennedy family ?,2,1,1,0,11,http://dbpedia.org/resource/Kennedy_family,2,FALSE,TRUE,FALSE,1,1,1,0,0,1,,1,1,0.6666666667,,1,0,,0,1,0,0,1,0
10332,Which board game can be said as a mind based game ?,4,2,2,0,11,"http://dbpedia.org/resource/Board_game,http://dbpedia.org/resource/Mind_sport",2,FALSE,TRUE,FALSE,,,,,,0.6666666667,,,,0.6666666667,0.6666666667,,,,,0.5,,,,
10333,Was GM first aired in Albania ?,3,0,2,0,6,"http://dbpedia.org/resource/Gümüş_(TV_series),http://dbpedia.org/resource/Albania",2,FALSE,FALSE,FALSE,0.6666666667,0.6666666667,0.5,0.5,,0.5,0.3333333333,0.6666666667,0.6666666667,0.6666666667,0.6666666667,,0.5,0.6666666667,0.5,,0.5,0.5,1,0.5
10334,How many games have a publisher based in US ?,4,2,1,1,9,http://dbpedia.org/resource/United_States,2,FALSE,FALSE,FALSE,,,,1,,,,0,,,0,0,0,,0,0.6666666667,0,0,1,0
10335,How many fictional characters were humans ?,3,1,1,1,6,http://dbpedia.org/resource/Human,1,FALSE,FALSE,FALSE,,,0,,,0,,0,0,0.6666666667,,0,,,,0.6666666667,,0,,
10336,Is Julia Gillard a part of monarch of elizabeth 2 ?,3,0,2,0,10,"http://dbpedia.org/resource/Julia_Gillard,http://dbpedia.org/resource/Elizabeth_II",2,FALSE,TRUE,TRUE,0.6666666667,0.6666666667,0.6666666667,0.6666666667,,0.6666666667,,0.6666666667,0.6666666667,0.8,0.8,,,0.6666666667,0.6666666667,0.8,0.6666666667,1,1,
10337,"Which cities come in the course of the river, into which Big Creek around Texas flows too ?",4,2,1,1,17,http://dbpedia.org/resource/Big_Creek_(Texas_Co._Missouri),2,FALSE,FALSE,TRUE,0,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,1,0
10338,Where are INKAS located which is also the state of origin for Jojo Chintoh ?,4,1,2,0,14,"http://dbpedia.org/resource/Jojo_Chintoh,http://dbpedia.org/resource/INKAS",2,FALSE,TRUE,TRUE,,0.5,,,0.6666666667,,,1,0.5,0.5,0.6666666667,,,0.6666666667,1,0.3333333333,0.6666666667,1,1,1
10339,Who wrote the frost king ?,2,1,1,0,5,http://dbpedia.org/resource/The_Frost_King,3,FALSE,TRUE,FALSE,,0,,,,0,,,,0,0,,,,,0,,,,
10340,How many other key people are there of the non-profit organisations whose key people is Hillary Clinton ?,3,0,1,0,17,http://dbpedia.org/resource/Hillary_Clinton,2,FALSE,TRUE,TRUE,0,1,0,1,0,0,0,0,0,0.6666666667,0,0,,0,0,0,0,0,1,0
10341,How many races have the horses bred by Jacques Van't Hart participated in ?,3,1,1,0,13,http://dbpedia.org/resource/Jacques_Van't_Hart,3,FALSE,TRUE,TRUE,,,,,,,,0,0,0,0,,,,0,0,0,0,1,0
10342,Name the mouth country of Upper Neretva ?,2,1,1,0,7,http://dbpedia.org/resource/Upper_Neretva,2,FALSE,TRUE,TRUE,1,1,1,,1,1,,0,1,1,0,,,1,0.6666666667,0.5,1,1,1,1
10343,In how many regions is English American spoken ?,2,0,1,0,8,http://dbpedia.org/resource/English_Americans,3,FALSE,FALSE,FALSE,0,,0,,,0,,0,0,0,0,,,,0,0,0,0,,
10344,Is Ella Fitzgerald associated with Mickey Roker ?,3,1,2,0,7,"http://dbpedia.org/resource/Mickey_Roker,http://dbpedia.org/resource/Ella_Fitzgerald",2,FALSE,TRUE,TRUE,1,1,1,,,1,0.6666666667,1,1,1,1,,,1,1,0.8,1,1,1,0.6666666667
10345,Does Cascade Airways have a hub in Seattle ?,3,1,2,0,8,"http://dbpedia.org/resource/Cascade_Airways,http://dbpedia.org/resource/Seattle",2,FALSE,TRUE,TRUE,1,0.6666666667,1,0.6666666667,,1,0.6666666667,1,1,0.8,0.8,,,0.6666666667,0.5,0.6666666667,1,1,1,
10346,How many services does the company who made Onedrive provide ?,3,1,1,0,10,http://dbpedia.org/resource/OneDrive,1,FALSE,TRUE,TRUE,,1,,,,,,,,0.6666666667,0.6666666667,,,,,1,,,,
10347,Where did the Vitis Vinifera grapes originate ?,4,2,1,1,7,http://dbpedia.org/resource/Vitis_vinifera,2,FALSE,TRUE,TRUE,,1,,,,1,,,,0.6666666667,0.6666666667,0,,,,1,,,,
10348,How many ships belong to states which has Unitary as government type ?,4,2,1,1,12,http://dbpedia.org/resource/Unitary_state,2,FALSE,FALSE,FALSE,,,,,,,0,,0,0.5,0,,,,0,0.4,,0,,
10349,Which technological products were manufactured by Foxconn ?,3,1,1,1,7,http://dbpedia.org/resource/Foxconn,1,FALSE,TRUE,TRUE,1,1,1,1,1,1,1,1,0.6666666667,0.5,0.5,0,1,1,1,,1,0.6666666667,1,1
10350,Does Gibby Haynes play the saxophone ?,3,0,2,0,6,"http://dbpedia.org/resource/Gibby_Haynes,http://dbpedia.org/resource/Saxophone",2,FALSE,TRUE,TRUE,0.6666666667,0.6666666667,0.6666666667,,0,1,,0.6666666667,0.6666666667,1,1,0.6666666667,0.6666666667,0.6666666667,0.6666666667,1,0.6666666667,0.6666666667,1,1
10351,List the movies directed by Stanley Kubrick ?,3,1,1,1,7,http://dbpedia.org/resource/Stanley_Kubrick,2,FALSE,TRUE,TRUE,1,1,1,,,1,1,1,0.6666666667,0.5,1,,,1,0.6666666667,0.6666666667,1,1,1,
10352,Things going to the mediterranean sea also go where ?,3,1,1,0,9,http://dbpedia.org/resource/Mediterranean_Sea,2,FALSE,TRUE,FALSE,1,1,1,,,1,0,1,1,1,1,,,1,0.6666666667,,,1,,
10353,How many first drivers have participated when Scuderia Ferrari was a first team ?,3,1,1,0,13,http://dbpedia.org/resource/Scuderia_Ferrari,2,FALSE,TRUE,TRUE,1,1,1,,1,1,1,1,1,1,0.6666666667,,,1,1,0,1,1,1,1
10354,Was Tommy Tucker's Tooth animated by Walt Disney ?,3,1,2,0,8,"http://dbpedia.org/resource/Tommy_Tucker's_Tooth,http://dbpedia.org/resource/Walt_Disney",3,FALSE,TRUE,TRUE,0.6666666667,0.6666666667,0.5,,0.5,0.5,0.6666666667,0.5,0.6666666667,0.5,0.8,,,,0.4,0.5,0.4,0.6666666667,1,0.6666666667
10355,Name all the bands which have members of QDT in them. ?,3,2,1,0,11,http://dbpedia.org/resource/QDT,1,FALSE,TRUE,TRUE,,1,1,,0,1,,,1,1,0,1,,1,,0,,0.6666666667,,
10356,Which publisher of Stone Canoe is also the university for which Michael Powell plays for ?,4,2,2,0,15,"http://dbpedia.org/resource/Stone_Canoe,http://dbpedia.org/resource/Michael_Powell_(lacrosse)",2,FALSE,TRUE,TRUE,0.5,0.5,0.5,,0,0.5,,0.5,0.5,0.5,0.5,0.6666666667,,0.5,0.4,0.5,0.5,0.4,1,0
10357,How many shows are made by the channel whose predecessor was the Comedy Channel ?,4,1,1,1,14,http://dbpedia.org/resource/The_Comedy_Channel_(United_States),3,FALSE,FALSE,FALSE,0,0,0,,,0,,0,0,0,,,,0,0,0,,0,,
10358,What are the movies directed by Joel Schumacher ?,3,1,1,1,8,http://dbpedia.org/resource/Joel_Schumacher,2,FALSE,TRUE,TRUE,1,1,1,1,,1,1,1,1,0.6666666667,1,1,0,1,1,0.6666666667,1,1,1,
10359,How many wars took place in Israel ?,3,1,1,1,7,http://dbpedia.org/resource/Israel,1,FALSE,TRUE,TRUE,1,1,1,1,1,1,1,1,1,0.6666666667,0.6666666667,1,1,,1,0.6666666667,1,1,1,1
10360,Where is Richard Stites located ?,2,1,1,0,5,http://dbpedia.org/resource/Richard_Stites,2,FALSE,TRUE,TRUE,1,1,1,,0,1,,1,1,1,,,,,1,,1,1,1,0
10361,How many companies serve the Australian region ?,3,1,1,1,7,http://dbpedia.org/resource/Australia,1,FALSE,FALSE,TRUE,1,,1,,,1,,1,,,1,1,,,,1,1,1,,
10362,Who wrote The Times They Are a-Changin ?,2,1,1,0,7,http://dbpedia.org/resource/The_Times_They_Are_a-Changin'_(musical),5,TRUE,FALSE,FALSE,0,0,0,,0,0,,,,0,0,,,,0,0,,,,
10363,"Who was the opponent of Robert Carr, 1st Earl of Somerset ?",2,1,1,0,11,"http://dbpedia.org/resource/Robert_Carr,_1st_Earl_of_Somerset",6,FALSE,TRUE,FALSE,0.5,1,0.5,0,,0.8,,,1,0,1,,,1,0.4,0.6666666667,0.4,1,1,
10364,Give me the total number of architect of the buildings whose one of the  architect was Louis D. Astorino ?,3,0,1,0,19,http://dbpedia.org/resource/Louis_D._Astorino,3,TRUE,TRUE,TRUE,,0.6666666667,,,,,,1,1,0.6666666667,0.4,,,1,0,0.4,1,1,1,1
10365,Where can i find companies which were started in Toronto ?,4,1,1,1,10,http://dbpedia.org/resource/Toronto,1,FALSE,TRUE,TRUE,1,,1,1,,1,1,1,1,1,1,,,,1,,1,1,1,
10366,List the leaders of the government agencies whose jurisdiction was German-occupied Europe. ?,4,2,1,1,12,http://dbpedia.org/resource/German-occupied_Europe,2,TRUE,TRUE,TRUE,1,1,1,0,0,1,0,,0.6666666667,0.6666666667,0.5,,0,,0.5,0.4,0,0.4,1,0
10367,"What is the total number of awards whose presenter's headquarters is Beverly Hills, California ?",4,1,1,1,14,"http://dbpedia.org/resource/Beverly_Hills,_California",3,FALSE,TRUE,TRUE,0.8,1,1,0,0,1,0.8,1,1,0,0.5714285714,,,1,0.6666666667,0.8,0.8,0.8,1,0
10368,Count the total number of launch site of the rockets which have been launched form Cape Canaveral Air Force Station ?,3,2,1,0,20,http://dbpedia.org/resource/Cape_Canaveral_Air_Force_Station,5,FALSE,TRUE,TRUE,1,1,1,,1,1,1,0.5,0.4,0.25,0.5,,,1,0.6666666667,0,,0.6666666667,,
10369,How many shows are made by Larry David ?,3,1,1,1,8,http://dbpedia.org/resource/Larry_David,2,FALSE,TRUE,TRUE,1,1,1,1,,1,,1,1,1,1,,0,1,1,0.6666666667,1,1,1,
10370,Name the home town of Cline Buckens ?,2,1,1,0,7,http://dbpedia.org/resource/Céline_Buckens,2,FALSE,FALSE,TRUE,,1,,,,,,1,,,0,,,,0.6666666667,0,1,0,,
10371,Was Cliff Burton in Metallica ?,3,0,2,0,5,"http://dbpedia.org/resource/Metallica,http://dbpedia.org/resource/Cliff_Burton",1,FALSE,TRUE,TRUE,1,0.5,1,,0,1,0.6666666667,1,1,0.5,1,1,,1,1,1,1,1,1,0
10372,What are the television shows whose network's sister station is BBC Two ?,4,2,1,1,12,http://dbpedia.org/resource/BBC_Two,2,FALSE,TRUE,TRUE,1,1,1,,,1,0,0.6666666667,0.5,0.4,0.5,,,1,0,0.4,0,1,1,0
10373,How many kinds of games can be played on the Amiga ?,3,1,1,0,11,http://dbpedia.org/resource/Amiga,1,FALSE,TRUE,TRUE,1,1,1,,,1,1,1,1,0.6666666667,0,,,1,1,0,,,,
10374,Is Michael Schumacher the first driver of the 1994 grand prix ?,3,0,2,0,11,"http://dbpedia.org/resource/1994_Hungarian_Grand_Prix,http://dbpedia.org/resource/Michael_Schumacher",3,FALSE,FALSE,FALSE,0.6666666667,0.6666666667,0.5,0.6666666667,,0.5,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,,,0.6666666667,0.6666666667,0.6666666667,0.6666666667,,1,
10375,By which companies is RENFE Class 333 designed ?,2,1,1,0,8,http://dbpedia.org/resource/RENFE_Class_333,3,FALSE,TRUE,TRUE,,1,0,,,1,0,,0,1,,,,0,,0.5,0,0,1,
10376,Does the asiana airlines fly into the Gimhae International Airport ?,3,1,2,0,10,"http://dbpedia.org/resource/Asiana_Airlines,http://dbpedia.org/resource/Gimhae_International_Airport",2,FALSE,TRUE,FALSE,1,1,1,,0.6666666667,1,,,1,1,1,,,1,0.6666666667,0.4444444444,0.6666666667,1,1,1
10377,What is the state of the senator whose successor is Nathaniel P. Hill ?,4,1,1,1,13,http://dbpedia.org/resource/Nathaniel_P._Hill,3,TRUE,TRUE,TRUE,1,1,,,1,,,1,1,0.5,0.6666666667,1,,1,0,0.6666666667,1,1,1,1
10378,Count the awards given to the recepients of the Becket fund for religious liberty. ?,3,1,1,0,14,http://dbpedia.org/resource/Becket_Fund_for_Religious_Liberty,5,FALSE,TRUE,FALSE,,1,,,,,,,1,1,0.6666666667,,,1,0,0.4,,1,,
10379,What is the president whose lieutenants are Winston Bryant and Joe Purcell ?,5,2,2,1,12,"http://dbpedia.org/resource/Winston_Bryant,http://dbpedia.org/resource/Joe_Purcell",2,FALSE,TRUE,TRUE,0.6666666667,1,1,,,1,,1,1,0.8,0.8,,,1,0.8,0.6666666667,1,0.8,1,
10380,Who has written the mary poppins musical ?,2,1,1,0,7,http://dbpedia.org/resource/Mary_Poppins_(musical),2,FALSE,FALSE,FALSE,,0,,,,,0,0,0,0,0,,,0,0,,,0,,
10381,Cable stayed bridges have been used to cross over how many things ?,3,0,1,0,12,http://dbpedia.org/resource/Cable-stayed_bridge,3,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,0,1,,0,,
10382,To which military division does Clark Daniel Stearns belong ?,2,1,1,0,9,http://dbpedia.org/resource/Clark_Daniel_Stearns,3,FALSE,TRUE,TRUE,1,1,1,0,1,0.6666666667,,1,1,1,1,0,0,1,0.6666666667,0,1,0.6666666667,1,1
10383,"What are the resting places of the associates of John Betts a, Connecticut politician ?",3,2,1,0,14,http://dbpedia.org/resource/John_Betts_(Connecticut_politician),2,FALSE,FALSE,TRUE,0,1,0,,,0,0,0,0,0,0.6666666667,,,0,0,0,0,0,1,
10384,Give me a count of mammals whose family is Canidae ?,3,1,1,1,10,http://dbpedia.org/resource/Canidae,1,FALSE,TRUE,TRUE,,0.6666666667,,,,0.6666666667,,,,0.6666666667,0.6666666667,0,,,0,0,,,,
10385,What sports can be played in Kharghar's schools ?,4,2,1,1,8,http://dbpedia.org/resource/Kharghar,1,FALSE,TRUE,TRUE,1,1,1,,,1,,1,1,1,0,,,1,1,,1,1,1,
10386,For which team does Ramiro Pea play ?,2,1,1,0,7,http://dbpedia.org/resource/Ramiro_Peña,2,FALSE,FALSE,TRUE,,,,0,0,,,1,,0,,,,,1,,1,,,
10387,How many shows is Russell Davies known for ?,3,0,1,1,8,http://dbpedia.org/resource/Russell_T_Davies,2,FALSE,FALSE,TRUE,1,,,0,,,,1,,,,,0,,1,,1,1,1,
10388,What is the leader of the government agency which is the military unit of Erich Kempka ?,3,2,1,0,16,http://dbpedia.org/resource/Erich_Kempka,2,FALSE,TRUE,TRUE,1,1,1,0,,1,0,1,0.6666666667,0.5,0,,0,1,0.5,0.3333333333,1,1,1,
10389,Name the serving line of Daund Junction railway station ?,2,1,1,0,9,http://dbpedia.org/resource/Daund_Junction_railway_station,4,FALSE,TRUE,FALSE,1,1,0.6666666667,,1,0,,0.6666666667,0,1,0,,,0,0.5,0.2857142857,1,,1,1
10390,"Who was the president under whom, a governor participated in Shay's rebellion ?",4,1,1,1,12,http://dbpedia.org/resource/Shays'_Rebellion,2,FALSE,FALSE,FALSE,,1,,,0,,,0,1,0,0,,,1,0,0.5,0,,1,0
10391,Is the charat district a district in peru ?,3,0,2,0,8,"http://dbpedia.org/resource/Charat_District,http://dbpedia.org/resource/Districts_of_Peru",2,FALSE,TRUE,FALSE,,0.5,,,,0,0,,,0,0.5,0,,,,0.4,,,,
10392,Who are the people who influenced the writers of Evenor ?,3,2,1,0,10,http://dbpedia.org/resource/Evenor_(collection),1,FALSE,FALSE,TRUE,0,0,0,,,0,,0,,,0,,,,0,,0,,1,
10393,What are some movies written by British writers ?,4,2,1,1,8,http://dbpedia.org/resource/British_people,2,FALSE,FALSE,FALSE,,,0,,,0,,0,,0,,,,,,0,0,,,
10394,How many different people own the Timeform award winners ?,4,1,1,1,9,http://dbpedia.org/resource/Timeform,1,FALSE,TRUE,TRUE,1,1,1,,,1,,1,1,1,0,,,1,1,,1,,,
10395,How many scientists are known for the Manhatten Project ?,3,0,1,1,9,http://dbpedia.org/resource/Manhattan_Project,2,FALSE,FALSE,TRUE,,1,,,1,,,,1,0.6666666667,0.5,,,1,1,0.6666666667,0,1,1,
10396,Which political party of Chandra Shekhar is also the political party of Datl Satyanarayana Raju ?,4,2,2,0,15,"http://dbpedia.org/resource/Chandra_Shekhar,http://dbpedia.org/resource/Datla_Satyanarayana_Raju",2,FALSE,TRUE,TRUE,0.5,0.5,0.4,,1,0.4,,1,0.5,0.5,0.5,,,,0.8,0,1,0.5,1,0.6666666667
10397,How many people have been presenters for NBC shows ?,4,1,1,1,9,http://dbpedia.org/resource/NBC,1,FALSE,TRUE,TRUE,1,1,1,1,0,1,0,1,1,0.5,1,,0,1,1,,1,1,1,0
10398,What is the television show whose executive producer is Douglas Netter ?,3,1,1,1,11,http://dbpedia.org/resource/Douglas_Netter,2,FALSE,TRUE,TRUE,1,1,1,,1,1,,0.6666666667,0.6666666667,0.6666666667,0.5,,,1,0.5,0.5,1,0.5,1,1
10399,Whihc alma mater of angela Trusty is also the training center of David Scherman ?,4,2,2,0,14,"http://dbpedia.org/resource/David_Scherman,http://dbpedia.org/resource/Angela_Trusty",2,FALSE,TRUE,TRUE,,1,,0,,0,,1,0.6666666667,0.6666666667,0.6666666667,,0,1,0.5,0.6666666667,0.6666666667,0.5,1,
10400,How many producers have worked for FremantleMedia productions ?,3,1,1,0,8,http://dbpedia.org/resource/FremantleMedia,1,FALSE,TRUE,TRUE,1,1,1,1,,1,,1,1,0.6666666667,0.6666666667,0.6666666667,,1,0.6666666667,0.6666666667,1,1,1,
10401,Which successor of Philippine Ports Authority is the state of origin of Ruben J. Villote ?,4,2,2,0,15,"http://dbpedia.org/resource/Philippine_Ports_Authority,http://dbpedia.org/resource/Ruben_J._Villote",3,FALSE,TRUE,TRUE,0.6666666667,0.8,0.6666666667,,,0.6666666667,,1,0.8,0.8,1,,,1,0,0.25,1,1,1,0.6666666667
10402,Who is the spouse of Willian Menalaus ?,2,1,1,0,7,http://dbpedia.org/resource/William_Menelaus,2,FALSE,FALSE,TRUE,0,0,0,,,0,,,0,0,,,,0,,,,,,
10403,Is Joe Schilling the trainer of Nick Diaz ?,3,1,2,0,8,"http://dbpedia.org/resource/Nick_Diaz,http://dbpedia.org/resource/Joe_Schilling",2,FALSE,TRUE,TRUE,0,1,0,,,1,,0,0,1,1,,,0,0,0.8,0,0,1,
10404,Is James Hetfield a band member of Metallica ?,3,1,2,0,8,"http://dbpedia.org/resource/Metallica,http://dbpedia.org/resource/James_Hetfield",1,FALSE,TRUE,TRUE,1,1,1,0.6666666667,0,1,0.6666666667,1,1,0.8,1,0.5,,1,1,0.4,1,,1,0
10405,Which baseball team is managed by Bruce Bochy ?,3,1,1,1,8,http://dbpedia.org/resource/Bruce_Bochy,2,FALSE,TRUE,TRUE,1,1,0.6666666667,1,,0.6666666667,,1,0.6666666667,0.6666666667,0.5,1,0,1,1,1,1,1,1,
10406,How many islands belong to archipelagos located in the pacific ?,4,0,1,1,10,http://dbpedia.org/resource/Pacific_Ocean,1,FALSE,FALSE,FALSE,,,0,,,0,1,0,0,0.5,0.5,,,,0,0,,0,,
10407,How many other important things have been written by the creator of Stuart Alan Jones ?,3,2,1,0,15,http://dbpedia.org/resource/Stuart_Alan_Jones,3,FALSE,TRUE,TRUE,,1,1,,1,1,,0,1,1,,,,1,1,0,1,1,1,1
10408,Does Kirk Hammett play the Gibson Flying V ?,3,1,2,0,8,"http://dbpedia.org/resource/Kirk_Hammett,http://dbpedia.org/resource/Gibson_Flying_V",2,FALSE,TRUE,TRUE,1,1,1,,0.6666666667,1,,1,1,1,,,,1,1,1,0.6666666667,1,1,1
10409,What novels are belong to the genre of Utopian and dystopian fiction ?,2,1,1,0,12,http://dbpedia.org/resource/Utopian_and_dystopian_fiction,4,FALSE,TRUE,FALSE,1,1,0.6666666667,,,1,,,1,0.5,0,,,1,0.6666666667,0.6666666667,0,,,
10410,What is the programme format of WWTR ?,2,1,1,0,7,http://dbpedia.org/resource/WWTR,1,FALSE,TRUE,TRUE,1,1,1,,0,0,,,1,1,,,,1,1,,,1,,
10411,What is the home ground of the clubs managed by Ciao Zanardi ?,4,2,1,1,12,http://dbpedia.org/resource/Caio_Zanardi,2,FALSE,FALSE,TRUE,,,,0,,,,,,,0,0,,,0,0,,0,,
10412,Which people are known for appearing on the television show Dragon's Den ?,3,1,1,1,12,http://dbpedia.org/resource/Dragons'_Den_(UK_TV_series),2,FALSE,FALSE,TRUE,0,,0,,,0,,0,0,0,0,,,,0,,,,,
10413,How many railway lines go through the station maintained by Public transport authority of western australia ?,4,2,1,1,16,http://dbpedia.org/resource/Public_Transport_Authority_(Western_Australia),3,FALSE,FALSE,FALSE,0.6666666667,0.6666666667,0.6666666667,,1,0.6666666667,0,,0.5,0,0.5,,,0.6666666667,0,0,,0.5,,
10414,Carl Sagan has penned books on how many matters ?,3,1,1,0,9,http://dbpedia.org/resource/Carl_Sagan,2,FALSE,TRUE,TRUE,1,1,1,1,,1,1,1,1,0.6666666667,0.6666666667,1,0,1,1,1,1,1,1,
10415,what are some units udner the US department of navy ?,2,1,1,0,10,http://dbpedia.org/resource/United_States_Department_of_the_Navy,6,FALSE,FALSE,FALSE,,1,,0,,0,,,,1,0,,0,0,0,,0,,1,0
10416,"What sport has made Eric Schiller famous, and has employed Craig Van Tibury ?",4,2,2,0,13,"http://dbpedia.org/resource/Craig_Van_Tilbury,http://dbpedia.org/resource/Eric_Schiller",3,FALSE,FALSE,TRUE,0,0.6666666667,0,,0.6666666667,0.4,,0.5,0,0.6666666667,0.6666666667,0,,0,0.5,0,0.5,0.5,1,0
